tcga,printable,input_csv,output_csv,method,task,model,seed,missing_before,missing_after,repaired,log
HNSC,Head and Neck Squamous Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/HNSC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_211519.csv,,rag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,24,,,repair_error: name 'cg' is not defined
HNSC,Head and Neck Squamous Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/HNSC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_161318.csv,,rag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,9,,,repair_error: name 'cg' is not defined
HNSC,Head and Neck Squamous Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/HNSC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_202242.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/HNSC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_202242.csv,zscot,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,9,0,9,ok
HNSC,Head and Neck Squamous Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/HNSC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_144927.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/HNSC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250911_144927.csv,zscot,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,6,1,5,ok
KICH,Kidney Chromophobe,/home/yl3427/cylab/selfCorrectionAgent/runs/KICH_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_050204.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KICH_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_050204.csv,kewltm,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,17,3,14,ok
KICH,Kidney Chromophobe,/home/yl3427/cylab/selfCorrectionAgent/runs/KICH_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_001646.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KICH_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_001646.csv,kewltm,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,1,0,1,ok
KICH,Kidney Chromophobe,/home/yl3427/cylab/selfCorrectionAgent/runs/KICH_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_053405.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KICH_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_053405.csv,kewrag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,1,0,1,ok
KICH,Kidney Chromophobe,/home/yl3427/cylab/selfCorrectionAgent/runs/KICH_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_013644.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KICH_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_013644.csv,kewrag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,22,0,22,ok
KICH,Kidney Chromophobe,/home/yl3427/cylab/selfCorrectionAgent/runs/KICH_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_052935.csv,,rag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,4,,,repair_error: name 'cg' is not defined
KICH,Kidney Chromophobe,/home/yl3427/cylab/selfCorrectionAgent/runs/KICH_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_005935.csv,,rag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,3,,,repair_error: name 'cg' is not defined
KICH,Kidney Chromophobe,/home/yl3427/cylab/selfCorrectionAgent/runs/KICH_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_051606.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KICH_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_051606.csv,zscot,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,2,0,2,ok
KICH,Kidney Chromophobe,/home/yl3427/cylab/selfCorrectionAgent/runs/KICH_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_003816.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KICH_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_003816.csv,zscot,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,2,0,2,ok
KIRC,Kidney Renal Clear Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_131848.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KIRC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_131848.csv,kewltm,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,34,6,28,ok
KIRC,Kidney Renal Clear Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_053733.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KIRC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_053733.csv,kewltm,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,6,0,6,ok
KIRC,Kidney Renal Clear Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_153908.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KIRC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_153908.csv,kewrag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,81,45,36,ok
KIRC,Kidney Renal Clear Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_105000.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KIRC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_105000.csv,kewrag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,15,2,13,ok
KIRC,Kidney Renal Clear Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_145730.csv,,rag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,66,,,repair_error: name 'cg' is not defined
KIRC,Kidney Renal Clear Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_091707.csv,,rag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,9,,,repair_error: name 'cg' is not defined
KIRC,Kidney Renal Clear Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_141729.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KIRC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_141729.csv,zscot,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,48,20,28,ok
KIRC,Kidney Renal Clear Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_074429.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KIRC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_074429.csv,zscot,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,4,0,4,ok
KIRP,Kidney Renal Papillary Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRP_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_203251.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KIRP_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_203251.csv,kewltm,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,7,0,7,ok
KIRP,Kidney Renal Papillary Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRP_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_164428.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KIRP_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_164428.csv,kewltm,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,4,1,3,ok
KIRP,Kidney Renal Papillary Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRP_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_205155.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KIRP_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_205155.csv,kewrag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,16,5,11,ok
KIRP,Kidney Renal Papillary Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRP_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_190300.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KIRP_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_190300.csv,kewrag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,8,1,7,ok
KIRP,Kidney Renal Papillary Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRP_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_204443.csv,,rag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,9,,,repair_error: name 'cg' is not defined
KIRP,Kidney Renal Papillary Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRP_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_175138.csv,,rag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,4,,,repair_error: name 'cg' is not defined
KIRP,Kidney Renal Papillary Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRP_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_203820.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KIRP_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_203820.csv,zscot,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,10,4,6,ok
KIRP,Kidney Renal Papillary Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/KIRP_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_172155.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/KIRP_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_172155.csv,zscot,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0,0,0,no_missing
LIHC,Liver Hepatocellular Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LIHC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_032702.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LIHC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_032702.csv,kewltm,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,164,141,23,ok
LIHC,Liver Hepatocellular Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LIHC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_211621.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LIHC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_211621.csv,kewltm,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,34,14,20,ok
LIHC,Liver Hepatocellular Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LIHC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_061404.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LIHC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_061404.csv,kewrag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,52,18,34,ok
LIHC,Liver Hepatocellular Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LIHC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_013618.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LIHC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_013618.csv,kewrag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,13,1,12,ok
LIHC,Liver Hepatocellular Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LIHC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_052650.csv,,rag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,37,,,repair_error: name 'cg' is not defined
LIHC,Liver Hepatocellular Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LIHC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_002846.csv,,rag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,11,,,repair_error: name 'cg' is not defined
LIHC,Liver Hepatocellular Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LIHC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_042214.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LIHC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_042214.csv,zscot,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,27,7,20,ok
LIHC,Liver Hepatocellular Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LIHC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_232345.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LIHC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250912_232345.csv,zscot,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,5,1,4,ok
LUAD,Lung Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUAD_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_143702.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LUAD_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_143702.csv,kewltm,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,20,1,19,ok
LUAD,Lung Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUAD_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_070508.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LUAD_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_070508.csv,kewltm,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,10,2,8,ok
LUAD,Lung Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUAD_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_183703.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LUAD_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_183703.csv,kewrag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,9,1,8,ok
LUAD,Lung Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUAD_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_112656.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LUAD_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_112656.csv,kewrag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,24,1,23,ok
LUAD,Lung Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUAD_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_171436.csv,,rag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,22,,,repair_error: name 'cg' is not defined
LUAD,Lung Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUAD_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_100850.csv,,rag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,7,,,repair_error: name 'cg' is not defined
LUAD,Lung Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUAD_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_160940.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LUAD_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_160940.csv,zscot,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,9,3,6,ok
LUAD,Lung Adenocarcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUAD_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_083819.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LUAD_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_083819.csv,zscot,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,5,0,5,ok
LUSC,Lung Squamous Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUSC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_042814.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LUSC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_042814.csv,kewltm,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,37,1,36,ok
LUSC,Lung Squamous Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUSC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_195601.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LUSC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_195601.csv,kewltm,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,15,4,11,ok
LUSC,Lung Squamous Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUSC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_080955.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LUSC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_080955.csv,kewrag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,30,14,16,ok
LUSC,Lung Squamous Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUSC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_012323.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LUSC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_012323.csv,kewrag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,29,7,22,ok
LUSC,Lung Squamous Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUSC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_070526.csv,,rag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,28,,,repair_error: name 'cg' is not defined
LUSC,Lung Squamous Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUSC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_230601.csv,,rag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,12,,,repair_error: name 'cg' is not defined
LUSC,Lung Squamous Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUSC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_055912.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LUSC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_055912.csv,zscot,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,22,8,14,ok
LUSC,Lung Squamous Cell Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/LUSC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_214624.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/LUSC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250913_214624.csv,zscot,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,13,5,8,ok
MESO,Mesothelioma,/home/yl3427/cylab/selfCorrectionAgent/runs/MESO_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_111822.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/MESO_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_111822.csv,kewltm,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,33,29,4,ok
MESO,Mesothelioma,/home/yl3427/cylab/selfCorrectionAgent/runs/MESO_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_092048.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/MESO_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_092048.csv,kewltm,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,11,1,10,ok
MESO,Mesothelioma,/home/yl3427/cylab/selfCorrectionAgent/runs/MESO_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_115925.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/MESO_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_115925.csv,kewrag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,9,5,4,ok
MESO,Mesothelioma,/home/yl3427/cylab/selfCorrectionAgent/runs/MESO_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_110040.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/MESO_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_110040.csv,kewrag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,8,1,7,ok
MESO,Mesothelioma,/home/yl3427/cylab/selfCorrectionAgent/runs/MESO_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_115049.csv,,rag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,16,,,repair_error: name 'cg' is not defined
MESO,Mesothelioma,/home/yl3427/cylab/selfCorrectionAgent/runs/MESO_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_100747.csv,,rag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,8,,,repair_error: name 'cg' is not defined
MESO,Mesothelioma,/home/yl3427/cylab/selfCorrectionAgent/runs/MESO_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_114351.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/MESO_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250914_114351.csv,zscot,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,15,7,8,ok
